pergunta_um,pergunta_dois
"Bolhas que choram no topo do pé, dedos vermelhos ... parece terrível.O que fazer ??","Acho que estou com uma bolha de pranto no dedo do pé, como posso saber se é uma simples mordida no sapato ou uma infecção?"
Que quantidade de solução de niacina devo tomar para limpar meu sistema livre de thc?,Uma descarga de niacina pode ajudar a limpar o corpo de qualquer THC residual
Que quantidade de solução de niacina devo tomar para limpar meu sistema livre de thc?,Por quanto tempo o THC pode ser detectado no sangue?
Quais são minhas chances de engravidar se meu namorado desistir. Mas então inseriu seus dedos e pênis de volta na minha vagina com esperma ...,"Se os dedos de um homem ou seu pênis tiverem sêmen grudado nele e ele o inserir na vagina, uma garota pode engravidar?"
Quais são minhas chances de engravidar se meu namorado desistir. Mas então inseriu seus dedos e pênis de volta na minha vagina com esperma ...,"Meu namorado ejaculou na minha barriga, vou engravidar?"
Quais são algumas coisas não médicas que posso fazer para ajudar na minha asma?,Algum remédio caseiro para asma?
Quais são algumas coisas não médicas que posso fazer para ajudar na minha asma?,A asma tem tratamento para o bem ou terei para sempre?
Quais são as chances de sobrevivência após o diagnóstico de câncer de estômago?,Quais são as opções de tratamento disponíveis para o câncer de estômago?
Quais são as chances de sobrevivência após o diagnóstico de câncer de estômago?,Qual é o prognóstico de 5 anos com câncer de estômago?
Quais são as cinco cirurgias de emergência mais comuns em adolescentes americanas?,"Eu sou um adolescente americano médio, tenho vomitado com febre e fortes dores abdominais desde a noite passada, minha mãe disse que pode ser meu apêndice. Vou precisar de uma cirurgia de emergência?"
Quais são as cinco cirurgias de emergência mais comuns em adolescentes americanas?,"Você pode pensar que sou um pouco paranóica, mas poderia me ajudar com as cinco cirurgias de emergência mais comuns em adolescentes americanas?"
O que são essas pequenas saliências brancas na ponta da minha língua? Posso espalhar para o meu filho?,Eu vi alguns inchaços brancos na minha língua esta manhã! Vou transferir para o meu bebê quando a beijar?
O que são essas pequenas saliências brancas na ponta da minha língua? Posso espalhar para o meu filho?,O que pode causar inchaços vermelhos na língua? Eles são dolorosos também
Qual nível de açúcar no sangue é considerado normal para pessoas com diabetes tipo 2?,"Tenho diabetes tipo 2 e meus níveis de açúcar em jejum costumam ficar em torno de 100, isso é normal?"
Qual nível de açúcar no sangue é considerado normal para pessoas com diabetes tipo 2?,"Acabei de ter um valor de açúcar no sangue de 136, isso significa que tenho diabetes?"
"O que pode fazer com que os vasos do pescoço se tornem ingurgitados e distendidos episodicamente, o que melhora muito com as doses diárias de reposição (20 mg) de hidrocortisona?",Uma pressão alta pode fazer as veias do pescoço parecerem distendidas? E os esteróides pioram a pressão sanguínea descontrolada?
"O que pode fazer com que os vasos do pescoço se tornem ingurgitados e distendidos episodicamente, o que melhora muito com as doses diárias de reposição (20 mg) de hidrocortisona?","Qual, em sua opinião, poderia ser a possível causa do ingurgitamento episódico e distensão dos vasos do pescoço? E por que fica melhor com as doses diárias de reposição (20mg) de hidrocortisona?"
O que posso fazer com relação à dor lombar e à rigidez durante e depois de me curvar?,"Você pode me ajudar com algumas medidas para dor lombar e rigidez, mais ainda sobre flexão?"
O que posso fazer com relação à dor lombar e à rigidez durante e depois de me curvar?,"Tenho alguma rigidez matinal quando me levanto, por que isso estaria acontecendo?"
O que posso fazer para aumentar minhas chances de engravidar? Eu também fiz aborto médico há 5 meses. Eu uso o kit de ovulação e nenhum resultado. Por favor ajude,Quanto tempo depois de um aborto médico pode-se conceber novamente?
O que posso fazer para aumentar minhas chances de engravidar? Eu também fiz aborto médico há 5 meses. Eu uso o kit de ovulação e nenhum resultado. Por favor ajude,"Tenho monitorado minha ovulação desde meu aborto medicamentoso, há alguns meses, quero engravidar de novo, o que você sugere que eu faça?"
O que causa fome uma hora após as refeições com dor abdominal superior e sensação de queimação?,"Sempre que faço uma refeição, tenho uma sensação de queimação e dor na parte superior do abdômen e sinto fome de novo! O que poderia ser?"
O que causa fome uma hora após as refeições com dor abdominal superior e sensação de queimação?,"Quais são os sintomas de uma úlcera péptica? O que posso fazer em casa? Não tenho muito dinheiro, não posso consultar um médico :("
O que causa essas bolhas sob sua língua?,Eu tenho essas bolhas debaixo da minha língua há algumas semanas. O que poderia estar causando isso?
O que causa essas bolhas sob sua língua?,"Eu tenho essas pequenas saliências na minha língua, o que são? Desenvolvido depois que eu acidentalmente bebi uma sopa muito quente"
O que eu poderia fazer para aumentar minhas violações naturalmente?,Como posso ter seios bi naturalmente? Existem alguns exercícios ou alimentos para o mesmo?
O que eu poderia fazer para aumentar minhas violações naturalmente?,Quais são os perigos de obter implantes mamários para seios maiores?
O que um físico médico faz durante o tratamento do câncer?,Diferentes tipos de câncer têm diferentes modalidades de tratamento?
O que um físico médico faz durante o tratamento do câncer?,Qual é o papel do físico médico no tratamento do câncer?
O que significa ter um cisto ósseo F2 na minha coluna?,O cisto ósseo F2 na coluna é perigoso?
O que significa ter um cisto ósseo F2 na minha coluna?,A cirurgia é a única opção para um cisto ósseo f2 na coluna?
Qual é exatamente a maneira mais rápida de queimar gordura da barriga?,As pílulas dietéticas para perder peso / gordura da barriga são perigosas?
Qual é exatamente a maneira mais rápida de queimar gordura da barriga?,Como posso me livrar dessa gordura da barriga em breve?
O que acontece na ultrassonografia do coração fetal?,Você pode me orientar no processo de ultrassom do coração fetal?
O que acontece na ultrassonografia do coração fetal?,Qual é a melhor hora para fazer uma ultrassonografia do coração fetal?
O que acontece com uma pessoa no final que tem câncer de pâncreas?,Qual é o prognóstico de um câncer pancreático?
O que acontece com uma pessoa no final que tem câncer de pâncreas?,Qual é a modalidade de tratamento mais adequada para o câncer pancreático?
O que aumenta a coagulação do sangue?,"De repente, estou tendo problemas com um aumento na coagulação do sangue. Embora eu esteja vendo um médico, gostaria de entender como isso pode ter acontecido."
O que aumenta a coagulação do sangue?,Que tipo de medicamentos ou modalidades de tratamento estão disponíveis para quem tem aumento da coagulação do sangue?
Qual é a melhor posição de um feto no sétimo mês?,"O feto assume uma posição definida no 7º mês, se sim, qual é a melhor?"
Qual é a melhor posição de um feto no sétimo mês?,Qual a melhor posição que o feto deve estar no momento do parto?
Para que o câncer cervical é um fator de risco?,O câncer cervical pode causar mais doenças no corpo?
Para que o câncer cervical é um fator de risco?,Quais são os fatores de risco para câncer cervical?
O que é feito com relação às enxaquecas causadas por mudanças de temperatura?,Alguma coisa pode prevenir enxaquecas que acontecem devido a uma mudança repentina de temperatura?
O que é feito com relação às enxaquecas causadas por mudanças de temperatura?,Eu tenho uma dor de cabeça intermitente há alguns meses. Pode ser uma enxaqueca?
O que é insuficiência hepática e como ela é tratada?,"Meu pai foi diagnosticado com insuficiência hepática, é fatal, que tratamento devo fazer para ele?"
O que é insuficiência hepática e como ela é tratada?,"Meu pai tem cirrose hepática, como ele pode evitar que se transforme em uma insuficiência hepática total?"
Qual é a definição ou descrição de: diclofenaco?,O diclofenaco é seguro para uso por um período mais longo?
Qual é a definição ou descrição de: diclofenaco?,O que é exatamente um Diclofenac?
"Qual é a diferença entre catatonia e ""indisponibilidade emocional""?","Catatonia e ""indisponibilidade emocional são a mesma coisa?"
"Qual é a diferença entre catatonia e ""indisponibilidade emocional""?",Como posso apoiar minha irmã que foi diagnosticada com catatonia. Algo que eu possa fazer no meu fim?
Qual é uma boa maneira de lidar com a dor nas costas?,A gastrite pode causar dor nas costas?
Qual é uma boa maneira de lidar com a dor nas costas?,Como posso curar minha dor nas costas?
"O que devo fazer se contei 25 aftas na boca, que são extremamente dolorosas. Você pode me ajudar a descobrir como diminuir a dor?","Tenho uma ferida na boca, como posso saber se é uma afta ou uma afta?"
"O que devo fazer se contei 25 aftas na boca, que são extremamente dolorosas. Você pode me ajudar a descobrir como diminuir a dor?",Ó meu Deus! Por favor me ajude! Minha boca está cheia dessas aftas! Eu estou morrendo...
O que fazer se eu tiver um arco que não está conectado a um dos suportes das braçadeiras Damon?,É ruim o meu arco não estar conectado a um dos suportes das braçadeiras Damon?
O que fazer se eu tiver um arco que não está conectado a um dos suportes das braçadeiras Damon?,O que são colchetes Damon?
O que fazer se eu tiver uma bunda muito achatada. quase não existe. quais são algumas dicas / exercícios que poderiam me dar uma bela bunda?,Você pode compartilhar alguns exercícios para melhorar o bumbum comigo? Alguns que realmente funcionam?
O que fazer se eu tiver uma bunda muito achatada. quase não existe. quais são algumas dicas / exercícios que poderiam me dar uma bela bunda?,"Sempre quis uma bunda maior. Se eu for para uma cirurgia, de quais efeitos adversos devo estar ciente?"
O que fazer se eu tiver sangue nas fezes?,"Estou pirando! Acabei de notar um pouco de sangue nas minhas fezes, o que significa isso? Por favor ajude..."
O que fazer se eu tiver sangue nas fezes?,"Acabei de notar que minhas fezes estavam um pouco avermelhadas, poderia ser sangue?"
Qual tratamento você recomendaria para a infestação de demodex folliculorum? Ele apareceu na base do nariz e se espalhou para baixo. Obrigado!,Existem remédios caseiros para a infestação de demodex folliculorum ou terei de consultar um médico local?
Qual tratamento você recomendaria para a infestação de demodex folliculorum? Ele apareceu na base do nariz e se espalhou para baixo. Obrigado!,Acho que posso ter infestação de demodex folliculorum. Você pode me explicar como isso pode ser feito e os possíveis sintomas?
Como seria uma picada de aranha na língua?,Uma picada de aranha pode ser tratada em casa ou você sempre deve consultar um médico para isso?
Como seria uma picada de aranha na língua?,"Você poderia me ajudar com os sintomas de uma picada de aranha, na língua. Eu sei que é um lugar muito incomum, mas acho que pode ter acontecido quando eu estava lá fora mais cedo ..."
"O que causaria a ponta branca da úvula? Dor de garganta de manhã, mas passa. A ponta branca permanece durante todo","Você pode obter uma mancha branca na úvula em uma infecção de thraot, tem tido algumas dores de garganta pela manhã há alguns dias.?"
"O que causaria a ponta branca da úvula? Dor de garganta de manhã, mas passa. A ponta branca permanece durante todo",O que é essa coisa pendurada na minha boca! Essa é a úvula?
"Quando, depois de você aceitar, seus mamilos podem começar a coçar?","Os mamilos começam a coçar? De fato, você sente coceira generalizada no corpo durante a gravidez?"
"Quando, depois de você aceitar, seus mamilos podem começar a coçar?","Meus mamilos estão coçando, eu poderia estar grávida?"
Quando posso dar aos meus bebês o frango e a carne que eles têm agora de 8 meses?,Quando é que posso começar com frango e carne em bebês?
Quando posso dar aos meus bebês o frango e a carne que eles têm agora de 8 meses?,"Quando posso dar coalhada e probióticos aos meus bebês, eles já têm 8 meses?"
"Quando devo usar um teste de ovulação? Manhã, tarde ou noite?",Como rastrear a ovulação?
"Quando devo usar um teste de ovulação? Manhã, tarde ou noite?",Qual é a melhor hora do dia para fazer um teste de ovulação?
"Por que usar um fichário abdominal aumenta minha pressão arterial? Tanto a diastólica quanto a sistólica aumentaram em 10 pontos, levando-me a uma faixa hipertensiva de 135/105.",Os fichários abdominais são seguros para uso?
"Por que usar um fichário abdominal aumenta minha pressão arterial? Tanto a diastólica quanto a sistólica aumentaram em 10 pontos, levando-me a uma faixa hipertensiva de 135/105.",Um fichário abdominal aumenta significativamente a pressão arterial de uma pessoa?
Por que sinto dor na parede torácica e dificuldade para respirar muito depois dos exercícios?,Um treino extenuante pode causar dor no peito? Isso é normal?
Por que sinto dor na parede torácica e dificuldade para respirar muito depois dos exercícios?,Um paciente com doença cardíaca deve praticar exercícios intensos?
Por que você não usa um rebreather em um pt que está hiperventilando devido à ansiedade?,Quais são algumas medidas para combater a ansiedade?
Por que você não usa um rebreather em um pt que está hiperventilando devido à ansiedade?,Quais são as desvantagens de usar um respirador sem rebreather em um pt que está hiperventilando devido à ansiedade?
"Por que curar meu peito doía ao esticar, tossir e espirrar?","Tenho tossido e espirrado muito, mas por que meu peito está doendo tanto?"
"Por que curar meu peito doía ao esticar, tossir e espirrar?","Tenho tossido e espirrado muito, isso significa que estou com pneumonia?"
"Por que meu período menstrual é marrom escuro, parou após 4 horas. Isso é um período?",Tenho tido um corrimento vaginal fétido e coceira. Isso é fermento?
"Por que meu período menstrual é marrom escuro, parou após 4 horas. Isso é um período?",O que significa corrimento vaginal marrom?
3 u / se 5 dímeros d normais ao longo de 4 semanas excluiriam o dvt? Mesmo que a dor na perna ainda esteja presente? Sem vermelhidão ou inchaço.,Como podemos descartar TVP? Que sintomas devo observar e quais testes podem ser feitos?
3 u / se 5 dímeros d normais ao longo de 4 semanas excluiriam o dvt? Mesmo que a dor na perna ainda esteja presente? Sem vermelhidão ou inchaço.,"Eu bati na minha perna ontem e há alguma vermelhidão e inchaço, você acha que pode ser um coágulo de sangue?"
Haveria sintomas se as vértebras do pescoço colapsassem?,O colapso das vértebras do pescoço é comum? Quais são os sintomas esperados do ecan?
Haveria sintomas se as vértebras do pescoço colapsassem?,Qual é o protocolo de gestão para um colapso da vértebra do pescoço
"Pele seca com 2 anos de idade acima do lábio e lábio superior irritada e / ou seca. Picadas cetafilatópicas regulares. Posso colocar vaselina? está vermelho, irritado. De outros?",O cetafil pode causar reação alérgica? Usei cetafil e minha filha ficou com os lábios secos e irritados.
