Perguntas,Respostas
What is dexamethasone and does it work against COVID-19 ?,"Dexamethasone is a corticosteroid used in a wide range of conditions for its anti-inflammatory and immunosuppressant effects.It was tested in hospitalized patients with COVID-19 in the United Kingdom’s national clinical trial RECOVERY and was found to have benefits for critically ill patients.According to preliminary findings shared with WHO (and now available as a preprint), for patients on ventilators, the treatment was shown to reduce mortality by about one third, and for patients requiring only oxygen, mortality was cut by about one fifth.Dexamethasone is a corticosteroid used in a wide range of conditions for its anti-inflammatory and immunosuppressant effects.It was tested in hospitalized patients with COVID-19 in the United Kingdom’s national clinical trial RECOVERY and was found to have benefits for critically ill patients.According to preliminary findings shared with WHO (and now available as a preprint), for patients on ventilators, the treatment was shown to reduce mortality by about one third, and for patients requiring only oxygen, mortality was cut by about one fifth."
Were all patients in RECOVERY given dexamethasone ?,"Eligible patients were randomly allocated between several treatment arms. Dexamethasone was administered as an oral (liquid or tablets) or intravenous preparation, at a dose of 6 mg once daily for ten days, in one of the arms.In pregnancy or breastfeeding women, patients were randomized to prednisolone (a milder corticosteroid) 40 mg administered by mouth.Eligible patients were randomly allocated between several treatment arms. Dexamethasone was administered as an oral (liquid or tablets) or intravenous preparation, at a dose of 6 mg once daily for ten days, in one of the arms.In pregnancy or breastfeeding women, patients were randomized to prednisolone (a milder corticosteroid) 40 mg administered by mouth."
Does WHO recommend the use of dexamethasone for COVID-19 patients ?,"On 2 September 2020, WHO issued an interim guideline on the use of dexamethasone and other corticosteroids for the treatment of COVID-19. The guidelines were developed by a panel of WHO and international experts and investigators and is based on evidence collected from seven clinical trials.The guidelines make two recommendations:Recommendation 1:WHO strongly recommends that corticosteroids (i.e. dexamethasone, hydrocortisone or prednisone) be given orally or intravenously for the treatment of patients with severe and critical COVID-19.Recommendation 2:WHO advises against the use of corticosteroids in the treatment of patients with non-severe COVID-19, unless the patient is already taking this medication for another condition.Time and duration of medication should be once daily for 7-10 days.Daily dose should be 6 mg of dexamethasone, equivalent to 160 mg of hydrocortisone (i.e. 50 mg every 8 hours or 100 mg every 12 hours), 40 mg of prednisone, 32 mg of methylprednisolone (8 mg every 6 hours).The panel of experts made its recommendation on the basis of the moderate certainty evidence of a mortality reduction of 8.7% and 6.7% in patients with COVID-19 who are critically or severely ill.On 2 September 2020, WHO issued an interim guideline on the use of dexamethasone and other corticosteroids for the treatment of COVID-19. The guidelines were developed by a panel of WHO and international experts and investigators and is based on evidence collected from seven clinical trials.an interim guideline on the use of dexamethasone and other corticosteroids for the treatment of COVID-19The guidelines make two recommendations:Recommendation 1:WHO strongly recommends that corticosteroids (i.e. dexamethasone, hydrocortisone or prednisone) be given orally or intravenously for the treatment of patients with severe and critical COVID-19.Recommendation 2:WHO advises against the use of corticosteroids in the treatment of patients with non-severe COVID-19, unless the patient is already taking this medication for another condition.Time and duration of medication should be once daily for 7-10 days.Daily dose should be 6 mg of dexamethasone, equivalent to 160 mg of hydrocortisone (i.e. 50 mg every 8 hours or 100 mg every 12 hours), 40 mg of prednisone, 32 mg of methylprednisolone (8 mg every 6 hours).The panel of experts made its recommendation on the basis of the moderate certainty evidence of a mortality reduction of 8.7% and 6.7% in patients with COVID-19 who are critically or severely ill."
Is dexamethasone on the WHO Essential Medicines List ?,"Yes, dexamethasone has been on the WHO Model List of Essential Medicines (EML) since 1977 for several indications in multiple formulations. Since 2013, dexamethasone (Injectable formulation) has been indicated for respiratory distress syndrome in new-borns. Prednisolone is also on the EML and was included in 1984.Dexamethasone and prednisolone are included on the EML for the following indications:allergic or hypersensitivity conditions, without further specifying the typepain and oedema due to malignancy in palliative carenausea and vomiting,as part of treatment protocols for some blood tissue cancers.These indications are broad and can also include cytokine-related lung injury and as prevention or treatment of acute respiratory distress syndrome (ARDS) associated with severe acute respiratory infections (i.e. viral pneumonia). Both medicines are also recommended in children.Yes, dexamethasone has been on the WHO Model List of Essential Medicines (EML) since 1977 for several indications in multiple formulations. Since 2013, dexamethasone (Injectable formulation) has been indicated for respiratory distress syndrome in new-borns. Prednisolone is also on the EML and was included in 1984.Dexamethasone and prednisolone are included on the EML for the following indications:allergic or hypersensitivity conditions, without further specifying the typepain and oedema due to malignancy in palliative carenausea and vomiting,as part of treatment protocols for some blood tissue cancers.allergic or hypersensitivity conditions, without further specifying the typepain and oedema due to malignancy in palliative carenausea and vomiting,as part of treatment protocols for some blood tissue cancers.These indications are broad and can also include cytokine-related lung injury and as prevention or treatment of acute respiratory distress syndrome (ARDS) associated with severe acute respiratory infections (i.e. viral pneumonia). Both medicines are also recommended in children."
Is dexamethasone prequalified by WHO ?,"Yes, dexamethasone solution for injection 4mg/ml in 1ml ampoules, manufactured by Kern Pharma SL, Spain, has been prequalified for its use in the management of diseases associated with HIV/AIDS, but not for COVID-19.Another dexamethasone injection product is currently under assessment.Manufacturers interested in prequalifying their product can contact the Prequalification Team at [emailprotected] for further information.Yes, dexamethasone solution for injection 4mg/ml in 1ml ampoules, manufactured by Kern Pharma SL, Spain, has been prequalified for its use in the management of diseases associated with HIV/AIDS, but not for COVID-19.Another dexamethasone injection product is currently under assessment.Manufacturers interested in prequalifying their product can contact the Prequalification Team at [emailprotected] for further information.[emailprotected]"
What dose was used in the Recovery trial ?,"Dexamethasone was used in the Recovery Trial in oral (liquid or tablets) or intravenous preparation 6 mg once daily for ten days.In pregnancy or breastfeeding women, prednisolone 40 mg administered by mouth (or intravenous hydrocortisone 80 mg twice daily) should be used instead of dexamethasone.Note: It is permitted to switch between the two routes of administration according to clinical circumstances.Source: Page 9 of 35 RECOVERY [V6.0 2020-05-14] ISRCTN50189673 EudraCT 2020-001113-21Dexamethasone was used in the Recovery Trial in oral (liquid or tablets) or intravenous preparation 6 mg once daily for ten days.In pregnancy or breastfeeding women, prednisolone 40 mg administered by mouth (or intravenous hydrocortisone 80 mg twice daily) should be used instead of dexamethasone.Note: It is permitted to switch between the two routes of administration according to clinical circumstances.Note: It is permitted to switch between the two routes of administration according to clinical circumstances.Source: Page 9 of 35 RECOVERY [V6.0 2020-05-14] ISRCTN50189673 EudraCT 2020-001113-21"
What are the typical side effects of dexamethasone ?,"Dexamethasone is generally safe. It presents a favourable benefit-risk profile, particularly in patients with severe forms of pneumonia, while the benefit is less prominent in patients with non-severe pneumonia. As the treatment is short, even at high doses, corticosteroids are not associated with serious side effects. Potentially higher blood glucose levels (hyperglycaemia) are temporary.Prolonged use (I.e., used for more than two weeks) may be associated with adverse events such as glaucoma, cataract, fluid retention, hypertension, psychological effects (e.g., mood swings, memory issues, confusion or irritation), weight gain, or increased risk of infections and osteoporosis.To reiterate: All these adverse events are not associated with short term use (with the exception of hyperglycaemia that can worsen diabetes).Dexamethasone is generally safe. It presents a favourable benefit-risk profile, particularly in patients with severe forms of pneumonia, while the benefit is less prominent in patients with non-severe pneumonia. As the treatment is short, even at high doses, corticosteroids are not associated with serious side effects. Potentially higher blood glucose levels (hyperglycaemia) are temporary.Prolonged use (I.e., used for more than two weeks) may be associated with adverse events such as glaucoma, cataract, fluid retention, hypertension, psychological effects (e.g., mood swings, memory issues, confusion or irritation), weight gain, or increased risk of infections and osteoporosis.To reiterate: All these adverse events are not associated with short term use (with the exception of hyperglycaemia that can worsen diabetes)."
How do the doses used in the RECOVERY trial compare with those used normally ?,The Recovery trial used dexamethasone 6mg daily oral or intravenous for ten days. Higher daily doses of dexamethasone have been used for other indications for a long time and are known to be safe. The Recovery trial used dexamethasone 6mg daily oral or intravenous for ten days. Higher daily doses of dexamethasone have been used for other indications for a long time and are known to be safe. 
Can steroids be used in the elderly/children/pregnancy ?,"They can be used in children and the elderly. In pregnancy, the Recovery trial used prednisolone orally or hydrocortisone by intravenous infusion instead of dexamethasone. Steroids are ubiquitous in terms of geographic use.They can be used in children and the elderly. In pregnancy, the Recovery trial used prednisolone orally or hydrocortisone by intravenous infusion instead of dexamethasone. Steroids are ubiquitous in terms of geographic use."
Is dexamethasone available across the world ?,"Yes. Dexamethasone is off-patent and has been marketed in different formulations (e.g., tablets, liquid, solution for injection) for many years. It is generally available in most countries. There are several manufacturers of the product. One manufacturer has already been prequalified by WHO (Kern Pharma in Spain) while another is under assessment.The most common formulations are:Tablets: 0.5mg, 0.75mg, 1mg, 1.5mg, 2mg, 4mg and 6mgOral Solution: 0.5mg/5ml, 20mg/5ml and 1mg/ml (concentrate)Injectable suspension: 4mg/ml, 20mg/5mlIn recent years there have been occasional reports of shortages of this product. It is important to quickly understand the projected volumes for COVID-19 utilization and manufacturing capacity to help assess the impact for existing indications and the potential need for substitute therapies, to ensure all patients retain access to a safe, effective, quality, affordable product to meet their therapeutic needs.Yes. Dexamethasone is off-patent and has been marketed in different formulations (e.g., tablets, liquid, solution for injection) for many years. It is generally available in most countries. There are several manufacturers of the product. One manufacturer has already been prequalified by WHO (Kern Pharma in Spain) while another is under assessment.The most common formulations are:Tablets: 0.5mg, 0.75mg, 1mg, 1.5mg, 2mg, 4mg and 6mgOral Solution: 0.5mg/5ml, 20mg/5ml and 1mg/ml (concentrate)Injectable suspension: 4mg/ml, 20mg/5mlTablets: 0.5mg, 0.75mg, 1mg, 1.5mg, 2mg, 4mg and 6mgOral Solution: 0.5mg/5ml, 20mg/5ml and 1mg/ml (concentrate)Injectable suspension: 4mg/ml, 20mg/5mlIn recent years there have been occasional reports of shortages of this product. It is important to quickly understand the projected volumes for COVID-19 utilization and manufacturing capacity to help assess the impact for existing indications and the potential need for substitute therapies, to ensure all patients retain access to a safe, effective, quality, affordable product to meet their therapeutic needs."
